ID,RA,DEC,FREQ,SigmaSN,SigmaSp,SN,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.36,10:00:54.155,+02:34:36.990,343.819,1,3,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.37,10:00:54.776,+02:34:26.935,341.342,0,1,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.38,10:00:53.840,+02:34:36.442,344.264,0,1,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.39,10:00:55.287,+02:34:35.348,344.275,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.40,10:00:54.442,+02:34:30.355,343.453,1,1,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.41,10:00:54.374,+02:34:43.761,343.784,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.42,10:00:55.113,+02:34:35.964,341.502,1,2,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.43,10:00:54.511,+02:34:42.393,342.791,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.44,10:00:54.607,+02:34:42.667,343.91,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.45,10:00:55.100,+02:34:37.468,342.061,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.46,10:00:54.173,+02:34:41.367,344.64,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.47,10:00:54.456,+02:34:33.912,344.287,0,1,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.48,10:00:54.465,+02:34:28.508,341.764,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.49,10:00:54.817,+02:34:44.514,341.41,0,1,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.50,10:00:54.675,+02:34:36.716,342.243,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.51,10:00:53.945,+02:34:28.166,344.047,0,1,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.52,10:00:54.525,+02:34:36.853,343.225,0,0,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.53,10:00:54.657,+02:34:28.371,343.864,0,1,4.5,0.72,0.44,0.28,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.54,10:00:55.205,+02:34:30.423,344.321,2,1,4.5,0.51,0.33,0.44,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.55,10:00:54.776,+02:34:42.120,341.502,0,1,4.5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.56,10:00:54.511,+02:34:28.166,343.704,1,1,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.57,10:00:53.968,+02:34:40.204,343.065,0,1,4.5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.58,10:00:54.662,+02:34:39.862,343.419,0,2,4.5,0.45,0.30,0.37,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.59,10:00:54.867,+02:34:39.247,342.449,0,1,4.5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.60,10:00:53.876,+02:34:30.218,343.362,0,1,4.5,0.61,0.41,0.39,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.61,10:00:53.767,+02:34:32.407,344.047,0,1,4.5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.62,10:00:55.182,+02:34:31.518,343.077,0,0,4.5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.63,10:00:54.785,+02:34:32.133,343.077,0,0,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.64,10:00:54.643,+02:34:31.449,343.202,0,0,4.5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.65,10:00:55.123,+02:34:38.700,342.894,0,0,4.5,0.45,0.30,0.37,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.66,10:00:54.967,+02:34:24.472,341.467,0,0,4.5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.67,10:00:54.735,+02:34:45.745,341.821,0,1,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.68,10:00:53.927,+02:34:44.035,342.301,0,0,4.5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.69,10:00:54.693,+02:34:25.362,343.807,0,1,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.70,10:00:54.406,+02:34:36.921,343.533,0,0,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.71,10:00:54.100,+02:34:43.556,344.218,0,1,4.5,0.61,0.41,0.39,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.72,10:00:54.620,+02:34:34.459,342.221,1,1,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.73,10:00:53.936,+02:34:39.110,344.675,1,1,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.74,10:00:54.365,+02:34:42.188,342.769,0,0,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.75,10:00:54.684,+02:34:33.843,341.445,0,0,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.76,10:00:55.031,+02:34:33.638,341.867,1,1,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.77,10:00:54.027,+02:34:40.204,342.289,0,0,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.78,10:00:54.365,+02:34:27.140,344.127,0,1,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
