ID,RA,DEC,FREQ,SN,SigmaSN,SigmaSp,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.687,10:00:54.000,+02:34:34.732,344.001,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.688,10:00:54.894,+02:34:36.374,341.467,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.689,10:00:55.050,+02:34:32.954,342.552,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.690,10:00:54.620,+02:34:41.094,344.252,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.691,10:00:54.913,+02:34:34.185,342.186,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.692,10:00:54.771,+02:34:38.084,343.887,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.693,10:00:55.269,+02:34:33.570,341.753,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.694,10:00:54.360,+02:34:37.126,343.807,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.695,10:00:54.356,+02:34:46.224,342.255,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.696,10:00:54.274,+02:34:39.726,344.64,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.697,10:00:54.401,+02:34:31.176,343.351,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.698,10:00:54.182,+02:34:44.719,343.488,3.9,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.699,10:00:54.369,+02:34:27.550,342.278,3.9,0,0,0.45,0.28,0.34,0.00,0.00,0.00,1.00,0.88,0.00,0.00,0.00,0.00
Survey_EL.700,10:00:55.287,+02:34:32.749,344.115,3.9,1,0,0.39,0.24,0.32,0.00,0.00,0.00,1.00,0.73,0.00,0.00,0.00,0.00
Survey_EL.701,10:00:54.155,+02:34:27.072,344.652,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.702,10:00:54.077,+02:34:32.065,344.389,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
