#ID RA DEC FREQ SN SigmaSN SigmaSp P PE1 PE2 PSim PSimE1 PSimE2 PPesimistic PPesimisticE1 PPesimisticE2 PSimPesimistic PSimPesimisticE1 PSimPesimisticE2
Survey_EL.37 10:00:55.109 +02:34:35.964 341.502 4.7 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.38 10:00:54.515 +02:34:46.018 343.191 4.7 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.39 10:00:54.333 +02:34:39.589 342.985 4.7 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.40 10:00:54.908 +02:34:34.732 341.593 4.7 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.41 10:00:54.785 +02:34:31.244 342.94 4.7 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.42 10:00:54.032 +02:34:44.582 341.787 4.7 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.43 10:00:54.141 +02:34:37.195 342.517 4.7 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.44 10:00:54.871 +02:34:41.436 344.161 4.7 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.45 10:00:55.100 +02:34:33.706 342.894 4.7 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.46 10:00:54.456 +02:34:45.403 343.385 4.7 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.47 10:00:54.958 +02:34:39.110 343.191 4.7 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.48 10:00:54.292 +02:34:30.286 343.122 4.7 4 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.49 10:00:54.620 +02:34:34.459 342.209 4.7 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.50 10:00:53.895 +02:34:41.094 344.515 4.7 3 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.51 10:00:55.091 +02:34:38.836 342.312 4.7 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.52 10:00:54.776 +02:34:26.935 341.342 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.53 10:00:54.488 +02:34:31.860 344.732 4.6 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.54 10:00:53.840 +02:34:36.442 344.264 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.55 10:00:54.374 +02:34:43.693 343.773 4.6 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.56 10:00:55.287 +02:34:35.348 344.275 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.57 10:00:54.155 +02:34:36.990 343.819 4.6 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.58 10:00:54.223 +02:34:23.994 342.004 4.6 2 0 0.87 0.58 0.13 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.59 10:00:54.456 +02:34:37.263 341.844 4.6 0 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.60 10:00:54.483 +02:34:36.306 344.035 4.6 2 0 0.87 0.58 0.13 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.61 10:00:54.287 +02:34:23.310 341.433 4.6 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.62 10:00:54.511 +02:34:42.393 342.791 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.63 10:00:54.607 +02:34:42.667 343.91 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.64 10:00:55.100 +02:34:37.468 342.061 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.65 10:00:53.940 +02:34:39.110 344.675 4.6 1 0 0.46 0.27 0.32 0.00 0.00 0.00 1.00 0.84 0.00 0.00 0.00 0.00
Survey_EL.66 10:00:54.173 +02:34:41.367 344.64 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.67 10:00:54.456 +02:34:33.912 344.287 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.68 10:00:54.465 +02:34:28.508 341.764 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.69 10:00:54.817 +02:34:44.514 341.41 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.70 10:00:54.675 +02:34:36.716 342.243 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.71 10:00:54.730 +02:34:27.756 344.035 4.6 4 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.72 10:00:53.945 +02:34:28.166 344.047 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.73 10:00:54.525 +02:34:36.853 343.225 4.6 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.74 10:00:54.657 +02:34:28.371 343.864 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.75 10:00:54.438 +02:34:43.488 344.309 4.5 3 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.76 10:00:53.954 +02:34:35.622 343.75 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.77 10:00:54.926 +02:34:35.074 342.495 4.5 4 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.78 10:00:54.794 +02:34:37.605 342.974 4.5 3 0 0.53 0.33 0.47 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.79 10:00:54.776 +02:34:42.120 341.502 4.5 0 0 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.80 10:00:53.968 +02:34:40.204 343.065 4.5 0 0 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.81 10:00:54.150 +02:34:30.697 344.309 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.82 10:00:54.744 +02:34:34.322 341.661 4.5 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.83 10:00:54.662 +02:34:39.862 343.419 4.5 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
